match_url,combat_type,name,leader,units,unit_count,banners,attempt,outcome,zone,date
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Darth Revan,DARTHREVAN,"['DARTHREVAN', 'DARTHMALAK', 'BASTILASHANDARK']",3,55,1,Win,,"Jun 4, 26 2:32:09 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Hera Syndulla,HERASYNDULLAS3,"['HERASYNDULLAS3', 'CAPTAINREX', 'KANANJARRUSS3']",3,57,1,Win,,"Jun 4, 26 2:33:46 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,General Hux,GENERALHUX,"['GENERALHUX', 'KYLOREN', 'FIRSTORDEREXECUTIONER']",3,57,1,Win,,"Jun 4, 26 2:35:46 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Admiral Ackbar,ADMIRALACKBAR,"['ADMIRALACKBAR', 'OLDBENKENOBI', 'SABINEWRENS3']",3,56,1,Win,,"Jun 4, 26 2:44:22 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,General Grievous,GRIEVOUS,"['GRIEVOUS', 'MAGNAGUARD', 'STAP']",3,56,1,Win,,"Jun 4, 26 2:46:33 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Qui-Gon Jinn,QUIGONJINN,"['QUIGONJINN', 'ANAKINKNIGHT', 'KELLERANBEQ']",3,57,1,Win,,"Jun 4, 26 2:49:36 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Padmé Amidala,PADMEAMIDALA,"['PADMEAMIDALA', 'MACEWINDU', 'AHSOKATANO']",3,57,1,Win,,"Jun 4, 26 2:50:50 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Great Mothers,GREATMOTHERS,"['GREATMOTHERS', 'MORGANELSBETH', 'MERRIN']",3,56,1,Win,,"Jun 4, 26 2:51:27 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,General Veers,VEERS,"['VEERS', 'ADMIRALPIETT', 'DARKTROOPER']",3,56,1,Win,,"Jun 4, 26 2:52:29 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Captain Phasma,PHASMA,"['PHASMA', 'FIRSTORDERTIEPILOT', 'FIRSTORDERSPECIALFORCESPILOT']",3,57,1,Win,,"Jun 4, 26 2:53:58 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Jedi Knight Revan,JEDIKNIGHTREVAN,"['JEDIKNIGHTREVAN', 'JOLEEBINDO', 'BASTILASHAN']",3,57,1,Win,,"Jun 4, 26 2:54:44 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Cassian Andor (Undercover),CASSIANUNDERCOVER,"['CASSIANUNDERCOVER', 'KLEYA', 'VEL']",3,57,1,Win,,"Jun 4, 26 2:55:38 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,characters,Geonosian Brood Alpha,GEONOSIANBROODALPHA,"['GEONOSIANBROODALPHA', 'POGGLETHELESSER', 'GEONOSIANSPY']",3,57,1,Win,,"Jun 4, 26 2:57:07 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,ships,Executrix,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'SCYTHE', 'TIEADVANCED', 'TIEINTERCEPTOR', 'TIEBOMBERIMPERIAL', 'TIEFIGHTERIMPERIAL', 'TIEDEFENDER', 'TIEREAPER']",8,68,1,Win,,"Jun 4, 26 7:42:56 AM"
https://swgoh.gg/p/848865876/gac-history/O1780434000000/1/,ships,Malevolence,CAPITALMALEVOLENCE,"['CAPITALMALEVOLENCE', 'GEONOSIANSTARFIGHTER1', 'VULTUREDROID', 'HYENABOMBER', 'GEONOSIANSTARFIGHTER3', 'GEONOSIANSTARFIGHTER2']",6,3,1,Loss,,"Jun 4, 26 7:45:06 AM"
