player_id,combat_type,name,base_id,tags,alignment,stars,zeta_count,relic_level,ship_level,completion_percent,is_galactic_legend,has_ultimate,is_capital_ship,unit_url,image_url
955978779,characters,Leia Organa,GLLEIA,"Galactic Legend,Leader,Rebel",2,7,6.0,10.0,,99.0,True,True,False,https://swgoh.gg/p/955978779/unit/GLLEIA/,https://game-assets.swgoh.gg/textures/tex.charui_leiaendor.png
955978779,characters,Ahsoka Tano,GLAHSOKATANO,"Leader,Galactic Legend,Spectre,Unaligned Force User",2,7,6.0,9.0,,94.0,True,True,False,https://swgoh.gg/p/955978779/unit/GLAHSOKATANO/,https://game-assets.swgoh.gg/textures/tex.charui_ahsokatanogray.png
955978779,characters,Jabba the Hutt,JABBATHEHUTT,"Leader,Galactic Legend,Bounty Hunter,Hutt Cartel,Smuggler",3,7,6.0,8.0,,90.0,True,True,False,https://swgoh.gg/p/955978779/unit/JABBATHEHUTT/,https://game-assets.swgoh.gg/textures/tex.charui_jabbathehutt.png
955978779,characters,Jedi Master Kenobi,JEDIMASTERKENOBI,"Leader,Galactic Legend,Galactic Republic,Jedi",2,7,6.0,8.0,,90.0,True,True,False,https://swgoh.gg/p/955978779/unit/JEDIMASTERKENOBI/,https://game-assets.swgoh.gg/textures/tex.charui_globiwan.png
955978779,characters,Rey,GLREY,"Leader,Resistance,Galactic Legend,Unaligned Force User",2,7,6.0,8.0,,90.0,True,True,False,https://swgoh.gg/p/955978779/unit/GLREY/,https://game-assets.swgoh.gg/textures/tex.charui_rey_tros.png
955978779,characters,Sith Eternal Emperor,SITHPALPATINE,"Leader,Galactic Legend,Sith",3,7,6.0,8.0,,89.0,True,True,False,https://swgoh.gg/p/955978779/unit/SITHPALPATINE/,https://game-assets.swgoh.gg/textures/tex.charui_espalpatine_pre.png
955978779,characters,Supreme Leader Kylo Ren,SUPREMELEADERKYLOREN,"Leader,First Order,Galactic Legend,Unaligned Force User",3,7,6.0,8.0,,89.0,True,True,False,https://swgoh.gg/p/955978779/unit/SUPREMELEADERKYLOREN/,https://game-assets.swgoh.gg/textures/tex.charui_kyloren_tros.png
955978779,characters,Jedi Master Luke Skywalker,GRANDMASTERLUKE,"Galactic Legend,Leader,Jedi",2,7,6.0,8.0,,89.0,True,True,False,https://swgoh.gg/p/955978779/unit/GRANDMASTERLUKE/,https://game-assets.swgoh.gg/textures/tex.charui_luke_jml.png
955978779,characters,General Skywalker,GENERALSKYWALKER,"Leader,501st,Galactic Republic,Jedi",2,7,4.0,9.0,,91.0,False,False,False,https://swgoh.gg/p/955978779/unit/GENERALSKYWALKER/,https://game-assets.swgoh.gg/textures/tex.charui_generalanakin.png
955978779,characters,Darth Revan,DARTHREVAN,"Leader,Sith,Sith Empire,Fleet Commander",3,7,3.0,9.0,,91.0,False,False,False,https://swgoh.gg/p/955978779/unit/DARTHREVAN/,https://game-assets.swgoh.gg/textures/tex.charui_sithrevan.png
955978779,characters,Commander Ahsoka Tano,COMMANDERAHSOKA,"Galactic Republic,Scoundrel,Unaligned Force User",2,7,3.0,9.0,,92.0,False,False,False,https://swgoh.gg/p/955978779/unit/COMMANDERAHSOKA/,https://game-assets.swgoh.gg/textures/tex.charui_commanderahsokatano.png
955978779,characters,Grand Inquisitor,GRANDINQUISITOR,"Leader,Empire,Inquisitorius,Unaligned Force User",3,7,3.0,8.0,,87.0,False,False,False,https://swgoh.gg/p/955978779/unit/GRANDINQUISITOR/,https://game-assets.swgoh.gg/textures/tex.charui_grandinquisitor.png
955978779,characters,Hondo Ohnaka,HONDO,"Mercenary,Pirate,Scoundrel,Smuggler,Order 66 Raid",1,7,2.0,9.0,,92.0,False,False,False,https://swgoh.gg/p/955978779/unit/HONDO/,https://game-assets.swgoh.gg/textures/tex.charui_hondoohnaka.png
